Summary:
Number of strings read: 16384
Number of strings stored in hash table: 16384
Number of strings in their home addresses: 1440
Number of collisions: 14944
Average number of string comparisons: 5595.498474

Index    Key               Home Index    In Home    Comparisons
209      ---               ---           ---        ---        
210      ---               ---           ---        ---        
211      ---               ---           ---        ---        
212      ---               ---           ---        ---        
213      ---               ---           ---        ---        
214      ---               ---           ---        ---        
215      ---               ---           ---        ---        
216      ---               ---           ---        ---        
217      ---               ---           ---        ---        
218      ---               ---           ---        ---        
219      ---               ---           ---        ---        
220      ---               ---           ---        ---        
221      ---               ---           ---        ---        
222      ---               ---           ---        ---        
223      ---               ---           ---        ---        
224      ---               ---           ---        ---        
225      ---               ---           ---        ---        
226      ---               ---           ---        ---        
227      ---               ---           ---        ---        
228      ---               ---           ---        ---        
229      ---               ---           ---        ---        
230      ---               ---           ---        ---        
231      ---               ---           ---        ---        
232      ---               ---           ---        ---        
233      ---               ---           ---        ---        
234      ---               ---           ---        ---        
235      ---               ---           ---        ---        
236      ---               ---           ---        ---        
237      ---               ---           ---        ---        
238      ---               ---           ---        ---        
239      ---               ---           ---        ---        
240      ---               ---           ---        ---        
241      ---               ---           ---        ---        
242      ---               ---           ---        ---        
243      ---               ---           ---        ---        
244      ---               ---           ---        ---        
245      ---               ---           ---        ---        
246      ---               ---           ---        ---        
247      ---               ---           ---        ---        
248      ---               ---           ---        ---        
249      ---               ---           ---        ---        
250      ---               ---           ---        ---        
251      ---               ---           ---        ---        
252      ---               ---           ---        ---        
253      ---               ---           ---        ---        
254      ---               ---           ---        ---        
255      ---               ---           ---        ---        
256      ---               ---           ---        ---        
257      ---               ---           ---        ---        
258      ---               ---           ---        ---        
259      ---               ---           ---        ---        
260      ---               ---           ---        ---        
261      ---               ---           ---        ---        
262      ---               ---           ---        ---        
263      ---               ---           ---        ---        
264      ---               ---           ---        ---        
265      ---               ---           ---        ---        
266      ---               ---           ---        ---        
267      ---               ---           ---        ---        
268      ---               ---           ---        ---        
269      ---               ---           ---        ---        
270      ---               ---           ---        ---        
271      ---               ---           ---        ---        
272      ---               ---           ---        ---        
273      ---               ---           ---        ---        
274      ---               ---           ---        ---        
275      ---               ---           ---        ---        
276      ---               ---           ---        ---        
277      ---               ---           ---        ---        
278      ---               ---           ---        ---        
279      ---               ---           ---        ---        
280      ---               ---           ---        ---        
281      ---               ---           ---        ---        
282      ---               ---           ---        ---        
283      ---               ---           ---        ---        
284      ---               ---           ---        ---        
285      ---               ---           ---        ---        
286      ---               ---           ---        ---        
287      ---               ---           ---        ---        
288      ---               ---           ---        ---        
289      ---               ---           ---        ---        
290      ---               ---           ---        ---        
291      aa                291           YES        1          
292      ba                292           YES        1          
293      ca                293           YES        1          
294      bb                294           YES        1          
295      ac                295           YES        1          
296      fa                296           YES        1          
297      db                296           NO         2          
298      dc                298           YES        1          
299      gb                299           YES        1          
300      dd                300           YES        1          
301      gc                301           YES        1          
302      bf                302           YES        1          
303      ma                303           YES        1          
304      ee                303           NO         2          
305      df                304           NO         2          
306      jd                306           YES        1          
307      ob                307           YES        1          
308      pb                308           YES        1          
309      sa                309           YES        1          
310      md                309           NO         2          
311      kf                311           YES        1          
312      rc                312           YES        1          
313      sc                313           YES        1          
314      jh                314           YES        1          
315      mg                315           YES        1          
316      td                316           YES        1          
317      ki                317           YES        1          
