Summary:
Number of strings read: 1024
Number of strings stored in hash table: 1024
Number of strings in their home addresses: 461
Number of collisions: 563
Average number of string comparisons: 99.020508

Index    Key               Home Index    In Home    Comparisons
-------------------------------------------------------------
0        bnus              0             YES        1          
1        vmyk              1127          NO         1127       
2        frwcwa            2             YES        1          
3        vmtp              3             YES        1          
4        rcxs              3             NO         2          
5        mzcy              5             YES        1          
6        qjqtdj            6             YES        1          
7        jmxq              7             YES        1          
8        lwyk              8             YES        1          
9        cszk              1123          NO         1115       
10       teipdr            7             NO         4          
11       iwsq              11            YES        1          
12       kogjeu            11            NO         2          
13       vcpx              3             NO         11         
14       aqpy              14            YES        1          
15       zmqt              14            NO         2          
16       siqmqe            13            NO         4          
17       ltmt              2             NO         16         
18       xtyl              18            YES        1          
19       nteddy            13            NO         7          
20       hfrvbo            20            YES        1          
21       qkuv              21            YES        1          
22       zwqq              22            YES        1          
23       xwsp              22            NO         2          
24       rzzk              23            NO         2          
25       ljbvsc            1126          NO         1102       
26       xqrvdg            20            NO         7          
27       tjwhmg            6             NO         22         
28       gflonn            27            NO         2          
29       rscrpi            29            YES        1          
30       mhqkhr            30            YES        1          
31       uzvo              30            NO         2          
32       tncaur            32            YES        1          
33       snuroc            33            YES        1          
34       drqpkk            34            YES        1          
35       pmxltb            32            NO         4          
36       elshxe            26            NO         11         
37       ymuw              37            YES        1          
38       lwtnhj            32            NO         7          
39       oddgvr            39            YES        1          
40       ayay              1114          NO         1075       
41       rdifhw            13            NO         29         
42       gxeubi            1105          NO         1064       
43       eryx              43            YES        1          
44       zslw              23            NO         22         
45       xqtx              45            YES        1          
46       hzry              45            NO         2          
47       vmxo              11            NO         37         
48       hjtu              3             NO         46         
49       gsjv              1123          NO         1075       
50       jcvmpm            50            YES        1          
51       zypvoa            51            YES        1          
52       txsx              52            YES        1          
53       ayqjmm            43            NO         11         
54       txgn              1105          NO         1052       
55       tgtskl            55            YES        1          
56       kvwpdo            56            YES        1          
57       ywdv              2             NO         56         
58       jocdxj            3             NO         56         
59       yoinew            59            YES        1          
60       zbcrpo            39            NO         22         
61       wwww              61            YES        1          
62       akhaubcdd         61            NO         2          
63       ghhwzf            63            YES        1          
64       zyvnih            49            NO         16         
65       aeqjupgebb        65            YES        1          
66       fgsgdm            1090          NO         1025       
67       ---               ---           ---        ---        
68       hcrexq            68            YES        1          
69       guhfts            69            YES        1          
70       ipprrj            69            NO         2          
71       kposjp            68            NO         4          
72       uuwp              27            NO         46         
73       iflzna            1124          NO         1052       
74       uplvqi            74            YES        1          
75       nojw              1126          NO         1052       
76       lzms              10            NO         67         
77       azzfdx            77            YES        1          
78       vrzpas            77            NO         2          
79       jeptet            51            NO         29         
80       zrytco            80            YES        1          
81       ljoyqj            80            NO         2          
82       ipfzpf            37            NO         46         
83       eorrpn            83            YES        1          
84       sybfyf            18            NO         67         
85       fgtrwj            85            YES        1          
86       dctznm            80            NO         7          
87       szmkol            59            NO         29         
88       ckcuaq            1112          NO         1025       
89       eitkfr            23            NO         67         
90       zieavi            1114          NO         1025       
91       hkhfjs            0             NO         92         
92       gxlvmo            92            YES        1          
93       icvdzr            93            YES        1          
94       wayr              3             NO         92         
95       ifhzso            92            NO         4          
96       nqsrgu            96            YES        1          
97       a                 97            YES        1          
98       b                 98            YES        1          
99       c                 99            YES        1          
100      d                 100           YES        1          
101      cunzpl            101           YES        1          
102      f                 102           YES        1          
103      ymnpvm            103           YES        1          
104      ptqtxf            101           NO         4          
105      i                 105           YES        1          
106      j                 106           YES        1          
107      h                 104           NO         4          
108      l                 108           YES        1          
109      bvhiyt            109           YES        1          
110      n                 110           YES        1          
111      o                 111           YES        1          
112      p                 112           YES        1          
113      q                 113           YES        1          
114      r                 114           YES        1          
115      m                 109           NO         7          
116      mwytri            116           YES        1          
117      t                 116           NO         2          
118      u                 117           NO         2          
119      jfirxt            119           YES        1          
120      cjinww            117           NO         4          
121      y                 121           YES        1          
122      iuzpiu            122           YES        1          
123      z                 122           NO         2          
124      kvzbxq            121           NO         4          
125      xfmzmq            104           NO         22         
126      x                 120           NO         7          
127      svmruo            127           YES        1          
128      ujoexx            128           YES        1          
129      w                 119           NO         11         
130      nzwdgkfidi        127           NO         4          
131      g                 103           NO         29         
132      ---               ---           ---        ---        
133      rkbzox            127           NO         7          
134      ---               ---           ---        ---        
135      k                 107           NO         29         
136      mvitts            136           YES        1          
137      qwncuz            136           NO         2          
138      rtebwh            2             NO         137        
139      v                 118           NO         22         
140      ynxosq            140           YES        1          
141      lbxvab            1080          NO         940        
142      gshyyo            142           YES        1          
143      mjpo              1101          NO         959        
144      buqg              1083          NO         940        
145      lbjhemvgfe        130           NO         16         
146      newhmcufcf        125           NO         22         
147      yiatkl            11            NO         137        
148      ebqkddibm         148           YES        1          
149      zfcy              1107          NO         959        
150      ---               ---           ---        ---        
151      swekntqcae        151           YES        1          
152      ijlajveaf         152           YES        1          
153      jwzzql            153           YES        1          
154      yjtyvm            151           NO         4          
155      ---               ---           ---        ---        
156      ahfbfcrld         153           NO         4          
157      tqqq              4             NO         154        
158      xdazuz            158           YES        1          
159      epwuqu            159           YES        1          
160      s                 115           NO         46         
161      ycefienmaq        161           YES        1          
162      ---               ---           ---        ---        
163      ---               ---           ---        ---        
164      fwumwp            136           NO         29         
165      ---               ---           ---        ---        
166      nxmfhggeya        166           YES        1          
167      e                 101           NO         67         
168      llmdqmkpfb        168           YES        1          
169      ---               ---           ---        ---        
170      syax              1128          NO         959        
171      uqttqg            80            NO         92         
172      daygbigtob        172           YES        1          
173      ---               ---           ---        ---        
174      ---               ---           ---        ---        
175      llxoud            55            NO         121        
176      qysznt            176           YES        1          
177      ---               ---           ---        ---        
178      ---               ---           ---        ---        
179      ppzyehfpe         318           NO         140        
